faf_state,faf_zone,border_state_1,border_state_2,faf_country,lane_count,capacity,unit_cost,transit_days,reliability,capacity_share,capacity_share_pct
SD,460,SD,NE,USA,58,326.95507275166,0.14904615801568732,1.0,0.43276315215758376,0.000746872123761386,0.0746872123761386
WA,539,WA,OR,USA,41,320.75975078,0.19113393271569298,1.0,0.3059955296352079,0.0007327199858562683,0.07327199858562683
ND,380,MN,ND,USA,143,320.5435257825,0.17631619881191785,1.0,0.20286083207630481,0.0007322260573732691,0.0732226057373269
MA,259,NY,MA,USA,25,312.9949360901,0.2090562050759031,1.0,0.3133707617815925,0.0007149826142068487,0.07149826142068487
MO,299,MO,KS,USA,41,301.99542524094,0.15886350032745364,1.0,0.26527521389701925,0.0006898561405323189,0.06898561405323189
DC,111,DC,VA,USA,42,291.55066673023,0.24015096098049954,1.0,0.019012203424813225,0.000665996902302992,0.0665996902302992
KY,211,IN,KY,USA,9,285.42096929999997,0.2130275809391948,1.0,0.010506348354508512,0.0006519946722742567,0.06519946722742567
PA,429,WV,PA,USA,7,284.31392733,0.17998687054322074,1.0,0.01128900067114603,0.0006494658270103851,0.06494658270103851
MO,299,MO,TN,USA,4,284.128074,0.1543096010387615,1.0,0.0,0.0006490412773310759,0.0649041277331076
TN,479,MO,TN,USA,4,284.128074,0.1543096010387615,1.0,0.0,0.0006490412773310759,0.0649041277331076
NE,319,SD,NE,USA,50,283.73628101,0.14567743676040426,1.0,0.4294299815203144,0.0006481462942373639,0.06481462942373639
VA,513,WV,VA,USA,4,279.89371,0.16693210079377754,1.0,0.2822335032637794,0.0006393686076066307,0.06393686076066307
