forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,segment
2018-03-01,3,16269499964,16308547263.533573,16274341268.640568,train_fitted_2010_2019
2018-04-01,3,16735417807,16739871488.144367,16747075683.243498,train_fitted_2010_2019
2018-05-01,3,18659045468,17920569831.308006,17903526568.258274,train_fitted_2010_2019
2018-06-01,3,16734974592,16588595774.624533,16715082975.059872,train_fitted_2010_2019
2018-07-01,3,17091457368,16300736567.808878,16558213770.988775,train_fitted_2010_2019
2018-08-01,3,17662177999,17109344503.136898,17017312091.851822,train_fitted_2010_2019
2018-09-01,3,16163468299,16109189182.095093,16114175263.392658,train_fitted_2010_2019
2018-10-01,3,15018312664,15059472360.079033,15015162334.8681,train_fitted_2010_2019
2018-11-01,3,16089025644,16083233023.512447,16191500310.013453,train_fitted_2010_2019
2018-12-01,3,17686714202,17366736442.46658,17329503251.309395,train_fitted_2010_2019
2019-01-01,3,14564220624,14587371324.922209,14577521431.637548,train_fitted_2010_2019
2019-02-01,3,12938284687,12982678865.805378,13067854752.885477,train_fitted_2010_2019
2019-03-01,3,16715625564,16630281863.024536,16874031867.594997,train_fitted_2010_2019
2019-04-01,3,12718876580,12739598960.238583,12720135210.133871,train_fitted_2010_2019
2019-05-01,3,15572264308,15665743929.87932,15585773388.300034,train_fitted_2010_2019
2019-06-01,3,15266537991,15410965325.124725,15268375483.850813,train_fitted_2010_2019
2019-07-01,3,14621505917,14988391578.217628,14714302327.091589,train_fitted_2010_2019
2019-08-01,3,18700004068,18212012275.13803,17765874771.473938,train_fitted_2010_2019
2019-09-01,3,15128612959,15226095069.772245,15135875675.88012,train_fitted_2010_2019
2019-10-01,3,19059604038,17184787284.51391,17402633800.93708,train_fitted_2010_2019
2019-11-01,3,15102976816,15234700923.531279,15201692192.764618,train_fitted_2010_2019
2019-12-01,3,18128386618,17496407179.370026,17862056848.136864,train_fitted_2010_2019
2020-01-01,3,15394419240,16495434411.56752,16249523899.162739,forecast_2020_plus
2020-02-01,3,13340080769,15396068359.563967,15298935837.621067,forecast_2020_plus
2020-03-01,3,20069828156,16550376828.730053,16475850907.661802,forecast_2020_plus
2021-04-01,3,17505916872,16080997616.642262,15975507957.52595,forecast_2020_plus
2021-05-01,3,20882183495,14803987184.743021,14542507579.25271,forecast_2020_plus
2021-06-01,3,21960801156,15471730574.976692,15003801509.650108,forecast_2020_plus
2021-07-01,3,18948651730,16702674265.44759,17859271499.527386,forecast_2020_plus
2021-08-01,3,22797670023,14613009710.535534,14933105726.662966,forecast_2020_plus
2021-09-01,3,20690069970,16711115754.797592,16856690297.440607,forecast_2020_plus
2021-10-01,3,17404362145,15091977042.557087,16287148014.601322,forecast_2020_plus
2021-11-01,3,19612659252,16151851788.252594,16545362635.183418,forecast_2020_plus
2021-12-01,3,22838461230,16793885090.138649,16169714210.981876,forecast_2020_plus
2022-01-01,3,16825969850,15945222989.142204,16267716770.285698,forecast_2020_plus
2022-02-01,3,17926558167,15610481142.805363,15654517339.82898,forecast_2020_plus
2022-03-01,3,24345128144,15954726034.117298,16649906563.217064,forecast_2020_plus
2022-04-01,3,19283273155,16860360005.788319,16731476790.410683,forecast_2020_plus
2022-05-01,3,22462593594,19066101623.803436,16783010644.458645,forecast_2020_plus
2022-06-01,3,25382434138,16799920055.329128,17495696399.633274,forecast_2020_plus
2022-07-01,3,18078761012,18026525523.17041,17114983987.755432,forecast_2020_plus
2022-08-01,3,19109349191,18644799107.803345,18666900160.872353,forecast_2020_plus
2022-09-01,3,22912337265,19037875270.261803,17202145151.110153,forecast_2020_plus
2022-10-01,3,21731214143,17253851280.812084,17422103624.81206,forecast_2020_plus
2022-11-01,3,18903201958,18827742207.341908,17841517836.825535,forecast_2020_plus
2022-12-01,3,18071089869,19119877419.564445,17318508764.25917,forecast_2020_plus
2023-01-01,3,15587939055,18467517308.597248,17815087996.570244,forecast_2020_plus
2023-02-01,3,16188265112,18217154009.229683,18108951516.058117,forecast_2020_plus
2023-03-01,3,18854384035,18194669996.860195,17568276662.913166,forecast_2020_plus
2023-04-01,3,14926679028,17472667742.81991,17968497921.498398,forecast_2020_plus
2023-05-01,3,17582537728,17596809644.583954,17931718751.476223,forecast_2020_plus
2023-06-01,3,17632184717,20527241176.767776,19397485248.883114,forecast_2020_plus
2023-07-01,3,17322727545,20082799832.33939,17674545272.192764,forecast_2020_plus
