month,link_id,lane_direction,from_node,to_node,mode,source,confidence,faf_state,faf_zone,border_state_1,border_state_2,faf_country,faf_stfips,faf_county_name,capacity,unit_cost,transit_days,reliability
2022-01,1003787,BA,FAF_LINK_1003787_B,FAF_LINK_1003787_A,truck,faf5_domestic_2022_observed,high,NE,319,IA,NE,USA,31,DAKOTA,5.41115,0.16175692782495404,1,0.18482595475977692
2022-01,1003787,BA,FAF_LINK_1003787_B,FAF_LINK_1003787_A,truck,faf5_import_2022_observed,high,NE,319,IA,NE,USA,31,DAKOTA,1.76523,0.10539306492638352,1,0.06073737197796636
2022-01,1003788,AB,FAF_LINK_1003788_A,FAF_LINK_1003788_B,truck,faf5_domestic_2022_observed,high,NE,319,IA,NE,USA,31,DAKOTA,0.550978,0.16845863174210224,1,0.18482595475977692
2022-01,1003788,AB,FAF_LINK_1003788_A,FAF_LINK_1003788_B,truck,faf5_import_2022_observed,high,NE,319,IA,NE,USA,31,DAKOTA,0.0552867,0.1647631347141356,1,0.06073737197796636
2022-01,1003788,BA,FAF_LINK_1003788_B,FAF_LINK_1003788_A,truck,faf5_domestic_2022_observed,high,NE,319,IA,NE,USA,31,DAKOTA,5.41115,0.16175692782495404,1,0.18482595475977692
2022-01,1003788,BA,FAF_LINK_1003788_B,FAF_LINK_1003788_A,truck,faf5_import_2022_observed,high,NE,319,IA,NE,USA,31,DAKOTA,1.76523,0.10539306492638352,1,0.06073737197796636
2022-01,1003789,AB,FAF_LINK_1003789_A,FAF_LINK_1003789_B,truck,faf5_domestic_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,0.550978,0.16845863174210224,1,0.18482595475977692
2022-01,1003789,AB,FAF_LINK_1003789_A,FAF_LINK_1003789_B,truck,faf5_import_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,0.0552867,0.1647631347141356,1,0.06073737197796636
2022-01,1003789,BA,FAF_LINK_1003789_B,FAF_LINK_1003789_A,truck,faf5_domestic_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,5.41115,0.16175692782495404,1,0.18482595475977692
2022-01,1003789,BA,FAF_LINK_1003789_B,FAF_LINK_1003789_A,truck,faf5_import_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,1.76523,0.10539306492638352,1,0.06073737197796636
